"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"area        ",1,157.839628932397,157.839628932397,105.039617473779,1.89849063076654e-24
"gender2     ",1,35.4618760003434,35.4618760003434,23.5992818481223,1.21631122302907e-06
"area:gender2",1,5.82989447138431,5.82989447138431,3.87969668535517,0.0489191166321594
"Residuals   ",6026,9055.07490242006,1.50266759084302,NA,NA
