"cntry","w4q47","w4q50","w4q52","gndr","agea","eduyrs","eisced","hinctnta","region"
"AT",1,3,3,2,60,14,4,5,"AT13"
"AT",2,3,3,2,34,14,7,6,"AT32"
"AT",2,2,1,2,57,19,7,NA,"AT12"
"AT",3,2,4,1,19,16,5,1,"AT34"
"AT",1,3,4,2,28,16,6,10,"AT13"
"AT",1,4,4,1,55,12,3,4,"AT12"
"AT",2,2,2,1,47,12,3,8,"AT12"
"AT",1,3,3,2,60,12,3,10,"AT21"
"AT",2,3,2,1,46,19,6,10,"AT12"
"AT",1,4,4,1,66,23,7,8,"AT31"
"AT",1,4,3,2,41,11,3,5,"AT22"
"AT",1,3,3,2,61,12,3,NA,"AT12"
"AT",3,2,2,2,31,21,6,7,"AT13"
"AT",2,2,1,1,34,20,5,7,"AT12"
"AT",1,3,3,1,72,12,3,6,"AT22"
"AT",2,3,3,2,23,13,5,5,"AT32"
"AT",2,2,2,1,73,18,7,9,"AT13"
"AT",1,4,3,1,38,16,7,9,"AT31"
"AT",1,3,3,2,59,13,3,6,"AT22"
"AT",4,2,2,2,46,13,5,9,"AT12"
"AT",2,2,2,1,51,13,3,3,"AT13"
"AT",2,2,2,2,40,18,7,7,"AT33"
"AT",1,3,3,1,29,21,6,10,"AT22"
"AT",1,3,3,1,58,12,3,2,"AT31"
"AT",2,2,2,2,47,18,5,9,"AT13"
"AT",1,2,2,1,26,11,3,9,"AT31"
"AT",2,3,2,2,63,13,3,NA,"AT31"
"AT",1,3,3,1,49,14,7,6,"AT21"
"AT",1,4,3,1,32,11,5,6,"AT12"
"AT",2,2,2,2,38,16,7,9,"AT12"
"AT",2,3,4,1,34,14,3,9,"AT22"
"AT",2,2,2,2,43,12,3,8,"AT12"
"AT",1,2,1,1,44,20,5,8,"AT12"
"AT",1,4,4,1,30,18,5,5,"AT32"
"AT",2,2,2,2,47,15,5,NA,"AT22"
"AT",2,2,2,1,61,12,3,2,"AT12"
"AT",2,3,2,1,65,12,3,7,"AT33"
"AT",1,4,1,1,45,12,7,NA,"AT13"
"AT",1,3,3,1,63,13,5,7,"AT13"
"AT",1,3,3,1,52,12,3,7,"AT13"
"AT",1,3,3,1,61,13,3,7,"AT31"
"AT",2,2,2,2,30,18,7,4,"AT13"
"AT",1,2,3,2,89,12,3,4,"AT12"
"AT",2,2,2,1,19,13,5,10,"AT31"
"AT",1,4,4,1,72,20,5,4,"AT21"
"AT",2,2,2,1,18,11,2,10,"AT31"
"AT",2,3,3,2,49,12,3,6,"AT12"
"AT",1,3,4,1,51,11,3,5,"AT22"
"AT",1,3,3,1,66,15,5,5,"AT31"
"AT",2,3,3,1,46,14,4,7,"AT13"
"AT",NA,NA,NA,2,25,19,6,8,"AT13"
"AT",1,4,3,1,50,14,3,10,"AT12"
"AT",3,3,2,2,20,12,4,NA,"AT13"
"AT",1,3,3,1,47,12,5,10,"AT13"
"AT",1,3,3,2,41,17,7,NA,"AT31"
"AT",2,3,3,2,60,13,3,3,"AT31"
"AT",2,2,2,2,39,25,7,8,"AT13"
"AT",1,3,3,1,38,16,5,4,"AT33"
"AT",1,3,3,1,80,11,3,3,"AT13"
"AT",2,3,4,1,47,20,7,6,"AT13"
"AT",2,2,3,2,45,14,3,NA,"AT13"
"AT",2,3,2,2,46,12,3,5,"AT32"
"AT",3,2,2,2,26,16,5,10,"AT32"
"AT",1,3,2,1,44,16,6,9,"AT31"
"AT",1,4,4,2,47,18,7,3,"AT13"
"AT",2,3,3,2,35,13,5,8,"AT21"
"AT",2,2,2,2,41,20,7,8,"AT13"
"AT",2,2,3,2,34,12,3,5,"AT12"
"AT",4,1,1,2,49,25,7,NA,"AT32"
"AT",1,NA,NA,1,33,NA,1,1,"AT32"
"AT",2,2,2,1,74,7,2,5,"AT21"
"AT",1,4,3,1,40,13,3,7,"AT31"
"AT",2,3,3,2,38,21,7,7,"AT33"
"AT",1,3,3,1,58,12,3,4,"AT22"
"AT",4,2,3,2,54,25,6,NA,"AT31"
"AT",2,3,3,1,51,9,2,9,"AT12"
"AT",1,3,3,2,48,12,3,NA,"AT31"
"AT",1,3,3,1,62,14,5,9,"AT34"
"AT",1,4,3,2,37,19,7,10,"AT31"
"AT",1,2,2,2,55,12,7,5,"AT13"
"AT",2,2,1,2,61,12,3,4,"AT31"
"AT",2,4,4,2,24,12,4,9,"AT31"
"AT",1,3,3,2,67,13,5,6,"AT31"
"AT",1,4,3,1,50,15,7,6,"AT32"
"AT",2,2,2,2,37,13,5,8,"AT12"
"AT",2,3,3,2,45,16,5,8,"AT21"
"AT",2,3,3,2,61,14,5,NA,"AT31"
"AT",1,3,3,1,57,12,3,1,"AT32"
"AT",1,3,4,1,30,13,6,1,"AT13"
"AT",2,2,2,1,69,19,7,8,"AT13"
"AT",1,3,3,1,80,28,7,7,"AT22"
"AT",2,3,3,1,71,13,5,8,"AT13"
"AT",2,3,3,1,81,11,5,6,"AT12"
"AT",3,1,1,2,25,14,5,5,"AT22"
"AT",2,2,2,1,27,12,3,3,"AT22"
"AT",2,2,3,2,52,14,4,8,"AT34"
"AT",2,3,2,2,47,19,7,9,"AT33"
"AT",1,3,3,2,68,15,6,6,"AT22"
"AT",3,2,2,1,62,NA,55,1,"AT13"
"AT",1,3,3,2,71,12,5,NA,"AT33"
"AT",1,3,3,2,64,13,6,9,"AT22"
"AT",1,3,2,1,35,5,7,5,"AT21"
"AT",1,3,3,2,70,11,3,6,"AT22"
"AT",2,3,2,2,33,18,7,10,"AT21"
"AT",1,4,4,1,57,17,5,7,"AT31"
"AT",2,2,3,2,69,19,7,9,"AT32"
"AT",1,3,3,2,50,15,5,10,"AT13"
"AT",1,4,3,1,26,12,3,NA,"AT12"
"AT",2,2,2,2,30,13,5,9,"AT12"
"AT",2,3,2,1,40,16,7,8,"AT22"
"AT",2,3,3,2,83,18,7,1,"AT12"
"AT",2,2,2,2,45,12,2,NA,"AT13"
"AT",2,3,3,1,60,13,4,3,"AT13"
"AT",2,2,2,2,36,18,7,NA,"AT21"
"AT",3,1,1,2,44,13,5,8,"AT12"
"AT",1,3,3,1,61,14,6,7,"AT22"
"AT",1,2,3,2,64,9,2,8,"AT13"
"AT",2,3,3,2,55,20,7,1,"AT21"
"AT",2,3,3,2,52,13,4,8,"AT22"
"AT",1,3,2,1,51,18,7,10,"AT22"
"AT",1,3,3,1,48,17,7,9,"AT31"
"AT",3,3,3,2,47,12,5,10,"AT12"
"AT",2,2,2,1,32,21,7,10,"AT13"
"AT",1,4,4,1,77,12,5,7,"AT22"
"AT",2,2,2,1,46,13,3,7,"AT31"
"AT",2,3,3,2,31,16,6,9,"AT13"
"AT",2,1,1,1,74,18,4,3,"AT13"
"AT",1,3,2,1,24,16,4,NA,"AT11"
"AT",NA,NA,NA,1,30,13,3,3,"AT13"
"AT",1,3,3,2,66,13,5,2,"AT31"
"AT",1,4,4,1,59,13,3,8,"AT31"
"AT",1,3,4,2,42,17,6,8,"AT21"
"AT",2,2,1,1,42,12,3,4,"AT32"
"AT",3,2,1,2,51,12,5,5,"AT12"
"AT",1,4,4,2,23,12,7,4,"AT13"
"AT",1,2,3,1,64,11,5,8,"AT12"
"AT",1,3,2,2,41,14,5,4,"AT34"
"AT",2,3,4,1,73,15,6,8,"AT12"
"AT",2,3,3,1,20,11,3,7,"AT31"
"AT",3,1,1,1,72,22,7,9,"AT21"
"AT",1,3,4,2,67,12,5,9,"AT32"
"AT",1,3,4,2,40,10,2,5,"AT33"
"AT",2,3,3,2,38,14,5,NA,"AT22"
"AT",1,4,4,1,33,19,7,3,"AT13"
"AT",2,3,3,2,66,19,7,7,"AT13"
"AT",3,2,2,2,54,14,5,4,"AT12"
"AT",2,4,3,2,28,16,6,9,"AT31"
"AT",2,3,2,2,48,22,7,4,"AT12"
"AT",1,3,4,1,62,11,3,7,"AT13"
"AT",2,2,3,2,27,18,7,4,"AT13"
"AT",1,3,2,2,23,16,5,10,"AT13"
"AT",2,2,2,1,62,11,3,NA,"AT31"
"AT",3,2,1,2,54,13,5,NA,"AT12"
"AT",1,2,3,2,78,11,3,10,"AT32"
"AT",2,3,3,2,25,16,5,5,"AT13"
"AT",1,4,3,1,70,12,5,NA,"AT31"
"AT",2,2,3,1,47,20,5,6,"AT32"
"AT",1,4,4,2,24,18,5,8,"AT34"
"AT",1,3,3,1,40,21,7,9,"AT12"
"AT",2,3,3,1,42,23,6,2,"AT31"
"AT",1,4,4,2,52,11,3,6,"AT22"
"AT",NA,3,2,2,30,NA,6,NA,"AT22"
"AT",2,3,3,2,38,12,3,6,"AT13"
"AT",1,2,3,1,77,18,7,4,"AT12"
"AT",2,2,1,1,28,13,5,NA,"AT31"
"AT",1,3,3,1,49,20,7,10,"AT21"
"AT",1,3,3,1,42,17,7,10,"AT13"
"AT",1,4,4,2,58,13,5,NA,"AT13"
"AT",1,4,3,1,54,18,5,NA,"AT32"
"AT",1,3,2,1,55,16,4,6,"AT13"
"AT",2,4,4,2,34,11,3,7,"AT33"
"AT",1,3,3,1,74,12,3,5,"AT22"
"AT",1,3,2,1,61,12,3,5,"AT12"
"AT",3,2,2,2,44,15,6,5,"AT12"
"AT",3,1,2,2,34,19,6,10,"AT12"
"AT",2,3,3,1,25,14,3,4,"AT13"
"AT",1,3,3,1,65,13,5,10,"AT31"
"AT",2,3,4,1,21,13,4,10,"AT32"
"AT",1,3,3,1,70,17,5,8,"AT12"
"AT",2,3,4,1,63,13,3,5,"AT21"
"AT",2,1,2,2,56,12,4,7,"AT13"
"AT",2,3,2,1,32,10,7,1,"AT12"
"AT",1,3,3,1,62,12,3,7,"AT31"
"AT",2,3,2,1,20,14,5,NA,"AT31"
"AT",2,3,4,2,35,18,7,8,"AT31"
"AT",1,3,3,1,31,17,6,3,"AT32"
"AT",2,2,2,1,58,11,5,9,"AT21"
"AT",1,3,3,2,32,21,7,3,"AT12"
"AT",1,3,3,2,37,15,5,7,"AT13"
"AT",1,4,4,2,31,20,6,5,"AT13"
"AT",2,3,3,2,22,15,6,7,"AT12"
"AT",2,3,3,2,25,10,7,NA,"AT34"
"AT",1,3,3,2,28,17,7,8,"AT31"
"AT",3,2,2,1,30,20,7,10,"AT13"
"AT",3,1,1,2,62,12,3,4,"AT33"
"AT",1,3,3,2,62,12,3,6,"AT13"
"AT",2,4,3,2,44,15,5,5,"AT12"
"AT",2,3,1,1,59,17,5,8,"AT31"
"AT",1,2,3,1,62,12,4,10,"AT13"
"AT",2,3,2,1,27,18,4,NA,"AT13"
"AT",NA,NA,NA,1,79,7,3,5,"AT31"
"AT",1,3,4,1,58,16,5,NA,"AT31"
"AT",3,2,1,2,36,NA,NA,7,"AT12"
"AT",2,3,2,1,30,18,5,3,"AT22"
"AT",3,2,2,2,38,16,5,4,"AT13"
"AT",3,2,1,2,50,14,5,7,"AT22"
"AT",1,3,4,2,62,15,6,4,"AT34"
"AT",1,3,2,1,39,23,6,9,"AT13"
"AT",1,3,3,1,38,22,7,10,"AT33"
"AT",1,4,4,2,64,12,3,3,"AT12"
"AT",2,2,2,2,31,20,7,10,"AT12"
"AT",2,3,4,1,71,12,3,6,"AT12"
"AT",1,3,4,2,60,21,6,NA,"AT22"
"AT",2,3,4,1,33,12,3,7,"AT31"
"AT",1,3,3,1,60,19,7,10,"AT12"
"AT",2,3,3,2,33,20,7,10,"AT31"
"AT",2,3,3,1,48,12,3,NA,"AT31"
"AT",3,2,2,1,52,15,5,8,"AT22"
"AT",2,4,3,1,54,15,6,9,"AT22"
"AT",1,4,4,1,42,14,3,6,"AT12"
"AT",1,3,3,1,36,16,6,8,"AT12"
"AT",2,2,3,1,56,12,5,5,"AT31"
"AT",2,2,2,1,36,15,7,10,"AT33"
"AT",1,4,3,1,78,13,55,1,"AT33"
"AT",2,2,2,1,69,20,7,NA,"AT13"
"AT",2,2,1,1,23,14,3,7,"AT31"
"AT",2,3,2,1,38,13,5,10,"AT33"
"AT",1,3,3,1,58,14,3,5,"AT12"
"AT",1,4,3,1,50,18,4,9,"AT31"
"AT",2,2,2,1,81,8,3,8,"AT13"
"AT",3,2,2,2,46,12,3,7,"AT12"
"AT",2,3,3,2,70,14,7,NA,"AT31"
"AT",4,1,1,2,24,15,3,9,"AT13"
"AT",1,4,4,1,42,14,3,3,"AT13"
"AT",1,3,3,1,76,14,5,7,"AT34"
"AT",2,3,4,2,26,13,5,3,"AT22"
"AT",2,2,2,1,41,15,3,NA,"AT31"
"AT",1,3,4,1,62,17,7,5,"AT13"
"AT",1,3,3,1,62,12,3,9,"AT31"
"AT",1,4,4,2,66,12,4,5,"AT31"
"AT",2,3,4,2,22,14,6,1,"AT13"
"AT",2,4,4,2,24,13,3,3,"AT22"
"AT",2,2,4,2,53,20,7,9,"AT22"
"AT",2,2,3,2,25,18,5,NA,"AT31"
"AT",2,3,2,2,23,12,4,1,"AT12"
"AT",2,3,2,1,42,13,5,8,"AT22"
"AT",1,2,2,1,65,12,3,4,"AT22"
"AT",1,4,4,2,73,11,3,4,"AT33"
"AT",1,3,3,1,48,13,5,8,"AT33"
"AT",2,3,3,2,71,12,5,4,"AT21"
"AT",2,2,2,2,25,19,6,4,"AT34"
"AT",2,3,3,1,63,13,2,10,"AT32"
"AT",2,3,4,1,56,12,3,9,"AT21"
"AT",1,3,3,1,22,15,5,2,"AT22"
"AT",2,2,3,1,69,12,5,4,"AT13"
"AT",1,3,3,2,64,12,3,7,"AT12"
"AT",1,2,1,2,40,15,5,8,"AT31"
"AT",2,3,3,2,38,21,7,7,"AT33"
"AT",2,1,2,2,63,12,3,1,"AT33"
"AT",1,4,3,1,52,23,7,2,"AT31"
"AT",3,2,2,2,32,15,5,10,"AT33"
"AT",4,2,2,2,48,24,7,10,"AT22"
"AT",2,2,2,1,46,20,7,9,"AT12"
"AT",1,4,4,2,28,18,7,10,"AT34"
"AT",2,2,2,1,47,16,3,8,"AT32"
"AT",2,2,2,2,68,12,4,8,"AT31"
"AT",2,3,3,2,40,12,3,6,"AT21"
"AT",1,2,3,1,79,12,3,1,"AT12"
"AT",2,3,2,2,27,16,6,4,"AT33"
"AT",2,3,3,2,28,14,6,3,"AT13"
"AT",1,2,3,1,74,12,3,6,"AT31"
"AT",1,4,1,1,32,15,3,8,"AT34"
"AT",1,4,4,2,60,12,2,NA,"AT21"
"AT",1,4,3,2,29,19,7,8,"AT32"
"AT",1,4,4,2,37,16,5,8,"AT12"
"AT",1,3,3,1,28,18,7,9,"AT34"
"AT",1,3,3,2,68,11,3,9,"AT12"
"AT",1,3,4,1,68,12,3,6,"AT31"
"AT",1,3,2,1,89,18,7,4,"AT13"
"AT",2,2,2,1,60,14,4,2,"AT22"
"AT",2,3,3,2,36,20,7,4,"AT31"
"AT",3,3,4,1,19,9,2,8,"AT13"
